Fund Custody Code / SARA code;CashFlow Type Id;CashFlow Type Description;Account Currency(ISO);Confirmed Amount Local ccy;Confirmed Amount Fund ccy;Projected Amount Local ccy;Projected Amount Fund ccy;Trade Date;Creation Date;Settlement Date;ReportDate;MF code;Fund Manager Identifier;Fund Administration Code;Fund name;External Fund Reference
89H;TA;SHS Net Inflow/Outflow;EUR;-27126.4;-27126.4;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB4210;Z8719429;SHC;DYNAMIC COLLECTION S FD A HEDG;DB4210Z8719429
90S;TA;SHS Net Inflow/Outflow;EUR;1964260.19;1964260.19;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB4213;Z8719429;SCA;EURO FIXED INCOME S FD A;DB4213Z8942010
91S;TA;SHS Net Inflow/Outflow;EUR;263465.29;263465.29;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB4213;Z8719429;SDI;EURO FIXED INCOME S FD B;DB4213Z8942010
92S;TA;SHS Net Inflow/Outflow;EUR;3307.34;3307.34;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB4210;Z8719429;SCA;DYNAMIC COLLECTION S FD A;DB4210Z8719429
93G;TA;SHS Net Inflow/Outflow;EUR;-23984.8;-23984.8;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB4211;Z8719429;LHC;EQUITY POWER COUPONCOLLECTION L FD A H;DB4211Z8719429
93H;TA;SHS Net Inflow/Outflow;EUR;39304.48;39304.48;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB4211;Z8719429;SHC;EQUITY POWER COUPONCOLLECTION S FD A H;DB4211Z8719429
93S;TA;SHS Net Inflow/Outflow;EUR;15587.78;15587.78;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB4211;Z8719429;SCA;EQUITY POWER COUPONCOLLECTION S FD A;DB4211Z8719429
95G;TA;SHS Net Inflow/Outflow;EUR;20890.24;20890.24;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5033;Z8719429;LHC;JP MORGAN GLOBAL SELECTION L FD A HEDGED;DB5033Z8719429
95H;TA;SHS Net Inflow/Outflow;EUR;71317.77;71317.77;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5033;Z8719429;SHC;JP MORGAN GLOBAL SELECTION S FD A HEDGED;DB5033Z8719429
95S;TA;SHS Net Inflow/Outflow;EUR;3270.79;3270.79;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5033;Z8719429;SCA;JP MORGAN GLOBAL SELECTION S FD A;DB5033Z8719429
96G;TA;SHS Net Inflow/Outflow;EUR;70073.97;70073.97;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5034;Z8719429;LHC;MORGAN STANLEY GLOBAL SELECTION L FD A HEDGED;DB5034Z8719429
96H;TA;SHS Net Inflow/Outflow;EUR;140190.32;140190.32;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5034;Z8719429;SHC;MORGAN STANLEY GLOBAL SELECTION S FD A HEDGED;DB5034Z8719429
